,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
1196,2018-10-18,A股市场破净股一览（10月18日）,Wind
1197,2018-10-18,融资客青睐13股，特锐德买入占比高达41.43%,Wind
1198,2018-10-12,金发科技：2016年公司债券2018年付息公告,上交所
1199,2018-08-31,融资客青睐22股，东兴证券买入占比高达54.79%,Wind
1200,2018-08-31,"金发科技2018半年报点评:新材料多个品种持续放量,上半年净利同比增长46%",光大证券
1201,2018-08-30,279股获券商买入评级 建发股份目标涨幅达115.15%,Wind
1202,2018-08-30,"金发科技:公司盈利大幅改善,持续增长可期",国联证券
1203,2018-08-27,金发科技：上半年净利润同比增46.46%,Wind
1204,2018-08-21,[推荐评级]化工行业周报：出口情况良好、人民币汇率贬值支撑醋酸价格 环氧丙烷-聚醚多元醇产业链提价,中财网
1205,2018-08-21,金发科技热塑性复合材料汽车轻量化产品成功量产,证券时报
1206,2018-08-17,金发碳纤维公司热塑性复合材料汽车轻量化产品实现量产,中证网
1207,2018-08-17,金发科技碳纤维热塑性复合材料实现汽车轻量化领域量产应用 技术创新助力市场拓展,证券日报
1208,2018-08-15,广州证券“我是股东”|中小投资者走进上市公司金发科技,股涨通
1209,2018-07-27,化工中期策略：把握业绩不放松,中财网
1210,2018-07-19,融资客青睐29股，天喻信息买入占比高达45.92％,Wind
1211,2018-07-17,[推荐评级]化工行业周报：高效氯氟氰菊酯领涨农药产品 维生素价格普涨 国产LNG、DMF价格走高,中财网
1212,2018-07-15,晚间重要公告2018年7月15日星期日,Wind
1213,2018-07-15,金发科技：拟公开发行不超30亿元公司债券,Wind
1214,2018-07-15,金发科技：拟发行不超30亿元公司债券,e公司
1215,2018-07-12,TMT行业日报：LGD称中国批准其在广州建立OLED工厂,中财网
1216,2018-07-10,[买入评级]金发科技(600143)动态点评：改性塑料龙头半年报业绩预增 五大类材料市场广阔,中财网
1217,2018-07-10,每日热点题材：投资机会都在这里！,巨丰财经
1218,2018-07-10,7月10日实战攻略+个股狙击,财经
1219,2018-07-09,盘前必读公告：这些潜力股不容错过！,巨丰财经
1220,2018-07-08,7月8日晚间上市公司十大重磅公告,巨丰财经
1221,2018-07-08,金发科技：2018年半年度业绩报告预告,上交所
1222,2018-07-08,金发科技：预计上半年净利润同比增长41.98%至50.33%,金融界
1223,2018-07-08,金发科技：上半年净利润预增42%至50%,e公司
1224,2018-07-08,金发科技：预计上半年净利润同比增加41.98%-50.33%,Wind
1225,2018-06-27,[推荐评级]化工行业周报：江苏印发沿海化工园区复产环保要求-菊酯产业链、磷矿石价格上扬 TDI价格回落,中财网
1226,2018-06-24,金发科技：2017年年度权益分派实施公告,上交所
1227,2018-06-13,【东北基础化工】日报/中国首个大型进口乙烷裂解制乙烯项目年内投产20200708,东北基础化工
1228,2018-06-05,融资客青睐16股，兴民智通买入占比高达72.30％,Wind
1229,2018-05-24,金发科技：获得高新技术企业证书,金融界
1230,2018-05-10,[推荐评级]化工行业周报：聚氨酯下游行业逐步进入旺季 聚合MDI 、TDI、纯碱及环氧丙烷产业链价格上涨,中财网
1231,2018-05-09,[推荐评级]基础化工行业2017年年报及2018年一季报总结：在建工程小幅复苏 行业延续景气向上 盈利实现大幅增长,中财网
1232,2018-05-04,特斯拉中国电池工厂即将公布 六概念股有望受益,证券时报
1233,2018-05-03,[快讯]金发科技等12家广东上市公司获“全景投资者关系管理金奖”,全景网
1234,2018-05-03,[路演]金发科技：已在国外设立印度金发、美国金发和德国金发,全景网
1235,2018-05-02,金发科技：美国子公司经营情况正常,中证网
1236,2018-05-02,碳纤维行业国产替代潜力大 六股投资正当时,证券日报
1237,2018-04-27,券商首次关注6股并给予买入评级(4月27日),Wind
1238,2018-04-24,[推荐评级]化工行业周报：苯胺、丁二烯价格走强 环氧丙烷-丙烯价差持续扩大,中财网
1239,2018-04-23,金发科技：一季度净利润同比增46.02%,Wind
1240,2018-04-23,金发科技：2017年净利润同比减25.68%,Wind
1241,2018-04-13,金发科技业绩下滑 董事长袁志敏涉内幕交易被查,和讯
1242,2018-04-12,年报披露过半，大浪淘沙价值重估，避免“踩雷”,--
1243,2018-04-12,金发科技遭证监会立案调查，一度触及跌停,Wind
1244,2018-04-11,4月11日公告精选：天海投资拟75亿元收购当当网,中金在线
1245,2018-04-11,4月11日晚间上市公司十大重要公告一览,巨丰财经
1246,2018-04-11,晚间重要公告2018年4月11日星期三,--
1247,2018-04-11,涉嫌内幕交易公司股票 金发科技董事长袁志敏遭立案调查,北京商报网
1248,2018-04-11,金发科技：董事长涉嫌内部交易遭证监会立案调查,Wind
1249,2018-04-11,金发科技：董事长涉嫌内幕交易遭证监会立案调查,e公司
1250,2018-03-30,今日各大机构看好十大金股一览（2018年3月30日）,金投网
1251,2018-03-15,CHINAPLAS与知名展商再回上海安亭，抢先预告汽车热点技术和解决方案,盖世汽车
1252,2018-03-12,【华创化工曹令团队】万盛股份（603010.SH）主业量价齐升，拟收购高速数据传输独角兽,华创化工
1253,2018-03-12,[推荐评级]化工行业周报：需求复苏延缓 产品价格偏弱 优质成长加大配置 烧碱、丙烯酸产业链走强 维生素价格波动,中财网
1254,2018-03-12,金发科技袁志敏：在新材料业务上多点开花,全景网
1255,2018-03-08,上市公司频频涉足商业保理 业绩回报丰厚,证券时报
1256,2018-03-07,“伙伴”股东退出筹建中合信保 金发科技、安信信托也公告不“玩”了,每日经济新闻
1257,2018-03-05,[推荐评级]化工行业周报：开工复苏 景气持续 优质成长逐步配置 MDI 3月挂牌价出台 PA66、丙烯酸产业链走强,中财网
1258,2018-02-28,[增持评级]基础化工行业周报：山东推进新旧动能转换工程 PA66、制冷剂继续上涨,中财网
1259,2018-02-27,退出中合信用保险设立，金发科技向保监会提交撤回申请,21世纪经济报道
1260,2018-02-27,2月27日晚间中国财经信息网独家证券快报,中财网
1261,2018-02-27,[快讯]2月27日晚间沪深两市重要公司公告一览,中财网
1262,2018-02-27,金发科技：撤回设立中合信保的申请,e公司
1263,2018-02-27,化工新材料加快补短板 碳纤维将获大力推进(受益股),金融界
1264,2018-02-26,中上协“2017年度最受投资者尊重的上市公司评选”入围名单揭晓,中上协
1265,2018-02-26,[推荐评级]化工行业周报：山东全面推进新旧动能转换工程 原油、制冷剂、PTA产业链走强,中财网
1266,2018-02-26,融资客青睐25股，华意压缩买入占比高达41.64％,Wind
1267,2018-02-12,[增持评级]基础化工行业周报：PA66以及制冷剂价格上涨 聚焦业绩高确定性细分行业龙头,中财网
1268,2018-02-11,[看好评级]基础化工行业2017年报前瞻：油价中枢上移叠加环保限产带动化工品涨价 行业利润同比大幅增长,中财网
1269,2018-02-07,[中性评级]化工行业周报：染料、钛白粉价格上涨 新戊二醇及草甘膦价格回落,中财网
1270,2018-02-06,[看好评级]化工行业周报：制冷剂价格上涨 草甘膦-甘氨酸、炭黑-煤焦油价差扩大,中财网
1271,2018-02-05,[推荐评级]化工行业周报：MDI 2月挂牌价出台 玻纤、染料、制冷剂产业链走强,中财网
1272,2018-02-05,[增持评级]基础化工行业周报：纯MDI尼龙66价格上涨 化工品节前交投清淡 整理为主,中财网
1273,2018-02-01,[中性评级]化工行业研究简报：原油维持涨势 巴斯夫及陶氏美国MDI装置不可抗力,中财网
1274,2018-02-01,核电双巨头重组获批 五股将有望率先发力,新华网
1275,2018-01-30,金发科技：1月29日融资余额为5.48亿元，较前一日骤增6.20%,Wind资讯
1276,2018-01-25,金发科技：全资子公司获得高新技术企业证书,金融界
1277,2018-01-24,国家队基金逐渐收缩A股“战线”，季末仓位降至新低,第一财经
1278,2018-01-24,化工行业:醋酸及复合肥上涨、孟山都拟巴西推抗麦草畏大豆,国联证券
1279,2018-01-19,化工：化工景气指数继续为正 荐23股,中信建投
1280,2018-01-18,金发科技：发挥行业龙头示范效应 服务企业人才培养,证券时报
1281,2018-01-14,"化工行业:原油继续上行,DSM维A装置事故",中国网
1282,2018-01-03,化工行业周报：己二酸、硝酸价格上涨TDI-甲苯、草甘膦-甘氨酸价差扩大,中财网
1283,2018-01-03,华创证券化工产品价格数据周报20180101,中财网
1284,2018-01-02,炭纤维板块飘红金发科技拉升,证券之星
1285,2018-01-02,化工行业周报：MDI1月挂牌价出台制冷剂产业链走强,中财网
1286,2018-01-02,“小清新”引领产业资本增持新风尚,Wind
